IT8.7/2
ORIGINATOR "Eastman Kodak Company"
DESCRIPTOR "Q60R1, IT8.7/2 Data Files, 5x7 inch Ektacolor"
CREATED  "SEPTEMBER 29,1997"
MANUFACTURER " Eastman Kodak Company"
PROD_DATE "1997:08 "
SERIAL  "1997:08 BATCH AVERAGE DATA"
MATERIAL "Ektacolor Product Family"
KEYWORD "MEAN_DE" # Mean Delta E of samples compared to batch average
#
# STDEV_DE in this data set is the average of the standard deviations of
# L*, a* and b*.  It is used to derive an estimate of the chi-squared
# parameter which is recommended as the predictor of the variability of
# DELTAE.  SEE FILE ON THIS DISK CALLED CHI-SQ.*
#
NUMBER_OF_FIELDS 12
BEGIN_DATA_FORMAT
SAMPLE_ID XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B STDEV_X STDEV_Y STDEV_Z
    MEAN_DE STDEV_DE
END_DATA_FORMAT
NUMBER_OF_SETS  264
BEGIN_DATA
#ID    X      Y      Z      L      A      B    S_X   S_Y   S_Z   M_DE  S_DE
C19  45.37  46.06  51.17  73.58   2.77 -16.09  0.70  0.64  0.48  0.56  0.35
D01   4.54   4.80   2.68  26.16  -1.17   8.87  0.18  0.17  0.12  0.78  0.47
D02   4.46   4.69   1.56  25.82  -0.83  18.85  0.18  0.16  0.06  0.77  0.47
D03   4.25   4.49   0.77  25.22  -1.03  29.03  0.18  0.17  0.04  0.99  0.61
D04   4.06   4.41   0.76  24.99  -2.78  28.69  0.17  0.15  0.02  0.94  0.58
D05  27.25  28.48  15.47  60.32  -0.83  17.12  0.59  0.54  0.52  0.88  0.53
D06  28.20  29.93   8.97  61.59  -2.57  38.34  0.56  0.53  0.34  0.83  0.50
D07  27.85  30.01   4.10  61.66  -4.23  60.41  0.56  0.53  0.15  0.73  0.44
D08  26.62  28.10   1.81  59.97  -1.90  75.02  0.53  0.46  0.03  0.80  0.51
D09  55.50  57.84  41.60  80.65  -0.68   7.47  0.69  0.64  0.77  0.65  0.39
D10  56.92  59.26  34.48  81.43  -0.55  18.47  0.66  0.63  0.78  0.72  0.41
D11  57.57  60.24  28.39  81.97  -1.25  28.79  0.63  0.61  0.72  0.77  0.42
D12  59.23  61.45  22.19  82.62  -0.03  40.95  0.54  0.55  0.65  0.84  0.44
D13  46.39  55.53  57.44  79.34 -19.17 -12.87  0.73  0.67  0.40  0.60  0.38
D14  56.99  48.34  49.04  75.04  27.21 -11.19  0.34  0.39  0.48  0.42  0.26
D15  69.57  72.34  36.97  88.13  -0.39  26.51  0.33  0.37  0.76  0.78  0.38
D16  34.57  35.67  30.83  66.27   0.59  -2.19  0.68  0.61  0.72  0.78  0.47
D17  53.02  45.99  31.63  73.54  23.66   9.10  0.38  0.42  0.71  0.76  0.43
D18  41.76  50.66  35.24  76.47 -20.30   8.83  0.75  0.71  0.73  0.75  0.46
D19  36.10  36.04  46.11  66.55   4.56 -22.41  0.64  0.58  0.48  0.61  0.37
E01   4.31   4.98   2.82  26.68  -6.53   8.72  0.18  0.17  0.13  0.77  0.47
E02   3.90   4.95   1.66  26.60 -11.97  19.07  0.16  0.17  0.06  0.74  0.46
